Id,SalePrice
1461,118252.09847822064
1462,158273.14959067604
1463,183777.76992353538
1464,194529.7430156487
1465,194101.0696629019
1466,176028.94314947372
1467,182074.26084657802
1468,160295.54056179864
1469,185122.24380040792
1470,122876.7884749098
1471,199594.52601758088
1472,95394.47777590857
1473,92643.39811929107
1474,160199.85399269123
1475,130545.2427167046
1476,366557.62021257204
1477,248459.63051313764
1478,306082.38499837636
1479,269158.5658839594
1480,567638.0120421392
1481,305215.7500475175
1482,199573.55077852687
1483,164009.12359429692
1484,179383.58488362443
1485,165611.1001275462
1486,193213.01243614394
1487,334053.66924001946
1488,246672.90075750434
1489,201597.94538231965
1490,234268.1843275328
1491,191814.19271442085
1492,88438.0264492398
1493,174963.55548680684
1494,285947.131721351
1495,298801.5704684418
1496,227924.6804647401
1497,184547.20558792877
1498,155989.10032386737
1499,156632.41399304772
1500,151660.2865262525
1501,179697.82082567076
1502,143070.28518489935
1503,290502.8744984486
1504,235225.05967551537
1505,222965.39790936795
1506,183782.11904004557
1507,254081.19077172235
1508,199960.9751983974
1509,162053.7862003956
1510,145835.35402584128
1511,142587.48995542893
1512,167985.16852444984
1513,147048.9288499362
1514,158854.92633420054
1515,222464.4101164541
1516,161338.08582006348
1517,161846.77390340186
1518,138826.73658013614
1519,220134.1568450035
1520,129780.11720981945
1521,134315.7470590574
1522,182489.50873305055
1523,109961.3182004043
1524,121753.44322834165
1525,126484.85236222691
1526,122430.49915584255
1527,105960.07594119511
1528,136818.8046660509
1529,142529.90062167344
1530,199355.90061290603
1531,118560.95832676106
1532,101475.86296111206
1533,145306.76884421613
1534,127222.10942420646
1535,151673.35069339545
1536,109079.13275548015
1537,66914.73521390873
1538,159655.13153381145
1539,204230.5978733299
1540,85304.48560168367
1541,149888.59812313344
1542,137300.82518417004
1543,225393.97290780893
1544,78734.60811071003
1545,111155.04619778553
1546,127105.38960486422
1547,132859.91033254648
1548,137874.95855836567
1549,105894.39399794111
1550,133161.8946708445
1551,113415.37379052282
1552,131300.41101282186
1553,151891.66627028142
1554,115846.07521726192
1555,166302.49675571482
1556,77003.2369810726
1557,105360.39936856665
1558,95761.45567299088
1559,67991.00536746564
1560,133915.76931296804
1561,123402.47554099032
1562,128137.02322313473
1563,121071.25333391936
1564,158420.52610565597
1565,154178.486591377
1566,236400.32858425163
1567,75923.91479019863
1568,220227.51625012068
1569,131017.6475483836
1570,131612.36994023298
1571,131859.46474690936
1572,151256.38812504272
1573,260175.89901406827
1574,105985.04339360204
1575,238583.83282914414
1576,224348.86082965363
1577,193060.33261326104
1578,143609.28541722047
1579,146344.08440824796
1580,199294.45938023922
1581,132104.1398563255
1582,126565.84157014798
1583,335875.26203024236
1584,230010.52891426097
1585,143432.7661554357
1586,71021.15550085112
1587,110076.291449513
1588,137837.55027367437
1589,105323.55199640771
1590,137394.15980693777
1591,93478.36351398194
1592,126623.30936043471
1593,138725.3511093091
1594,113747.19429517502
